root@lamp-s-1vcpu-1gb-nyc1-01:~# tcpdump -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:25:56.613842 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 3964021783:3964021891, ack 643401746, win 313, length 108
20:25:56.613949 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 108:144, ack 1, win 313, length 36
20:25:56.614045 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 144:252, ack 1, win 313, length 108
20:25:56.614118 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 252:288, ack 1, win 313, length 36
20:25:56.615987 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 288:468, ack 1, win 313, length 180
20:25:56.616081 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 468:504, ack 1, win 313, length 36
20:25:56.616211 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 504:660, ack 1, win 313, length 156
20:25:56.616296 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 660:696, ack 1, win 313, length 36
20:25:56.616408 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 696:852, ack 1, win 313, length 156
20:25:56.633400 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 288, win 2047, length 0
20:25:56.633474 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 852:2040, ack 1, win 313, length 1188
20:25:56.633709 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 2040:2188, ack 1, win 313, length 148
20:25:56.633801 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 2188:2224, ack 1, win 313, length 36
20:25:56.633914 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 2224:2388, ack 1, win 313, length 164
20:25:56.634004 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 2388:2424, ack 1, win 313, length 36
20:25:56.634115 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 2424:2588, ack 1, win 313, length 164
20:25:56.634189 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 2588:2624, ack 1, win 313, length 36
20:25:56.634327 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 2624:2788, ack 1, win 313, length 164
20:25:56.634406 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 2788:2824, ack 1, win 313, length 36
20:25:56.634506 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 2824:2988, ack 1, win 313, length 164
20:25:56.635584 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 852, win 2051, length 0
20:25:56.635620 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 2988:4224, ack 1, win 313, length 1236
20:25:56.635757 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 4224:4372, ack 1, win 313, length 148
20:25:56.635851 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 4372:4408, ack 1, win 313, length 36
20:25:56.635966 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 4408:4572, ack 1, win 313, length 164
20:25:56.636050 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 4572:4608, ack 1, win 313, length 36
20:25:56.636163 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 4608:4772, ack 1, win 313, length 164
20:25:56.636245 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 4772:4808, ack 1, win 313, length 36
20:25:56.636356 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 4808:4972, ack 1, win 313, length 164
