root@lamp-s-1vcpu-1gb-nyc1-01:~# tcpdump -i eth0 port 22
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:41:02.800448 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 3985560211:3985560319, ack 643422394, win 313, length 108
20:41:02.800544 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 108:144, ack 1, win 313, length 36
20:41:02.800624 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 144:252, ack 1, win 313, length 108
20:41:02.800680 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 252:288, ack 1, win 313, length 36
20:41:02.802267 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 288:468, ack 1, win 313, length 180
20:41:02.802358 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 468:504, ack 1, win 313, length 36
20:41:02.802443 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 504:660, ack 1, win 313, length 156
20:41:02.802523 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 660:696, ack 1, win 313, length 36
20:41:02.802661 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 696:852, ack 1, win 313, length 156
20:41:02.819878 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 288, win 2051, length 0
20:41:02.819941 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 852:2040, ack 1, win 313, length 1188
20:41:02.820176 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 2040:2188, ack 1, win 313, length 148
20:41:02.820258 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 2188:2224, ack 1, win 313, length 36
20:41:02.820351 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 2224:2388, ack 1, win 313, length 164
20:41:02.820415 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 2388:2424, ack 1, win 313, length 36
20:41:02.820501 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 2424:2588, ack 1, win 313, length 164
20:41:02.820570 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 2588:2624, ack 1, win 313, length 36
20:41:02.820655 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 2624:2788, ack 1, win 313, length 164
20:41:02.820726 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 2788:2824, ack 1, win 313, length 36
20:41:02.820810 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 2824:2988, ack 1, win 313, length 164
20:41:02.821919 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 852, win 2049, length 0
20:41:02.821954 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 2988:4224, ack 1, win 313, length 1236
20:41:02.822068 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 4224:4372, ack 1, win 313, length 148
20:41:02.822169 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 4372:4408, ack 1, win 313, length 36
20:41:02.822310 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 4408:4572, ack 1, win 313, length 164
20:41:02.822372 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 4572:4608, ack 1, win 313, length 36
20:41:02.822456 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 4608:4772, ack 1, win 313, length 164
