root@lamp-s-1vcpu-1gb-nyc1-01:~# tcpdump -i eth0 tcp
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:39:16.891217 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 3983993215:3983993323, ack 643419406, win 313, length 108
20:39:16.891337 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 108:144, ack 1, win 313, length 36
20:39:16.891451 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 144:252, ack 1, win 313, length 108
20:39:16.891546 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 252:288, ack 1, win 313, length 36
20:39:16.893109 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 288:468, ack 1, win 313, length 180
20:39:16.893264 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 468:504, ack 1, win 313, length 36
20:39:16.893422 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 504:660, ack 1, win 313, length 156
20:39:16.893539 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 660:696, ack 1, win 313, length 36
20:39:16.893667 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 696:852, ack 1, win 313, length 156
20:39:16.911227 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 288, win 2050, length 0
20:39:16.911322 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 852:2040, ack 1, win 313, length 1188
20:39:16.911609 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 2040:2188, ack 1, win 313, length 148
20:39:16.911695 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 2188:2224, ack 1, win 313, length 36
20:39:16.911797 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 2224:2388, ack 1, win 313, length 164
20:39:16.911876 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 2388:2424, ack 1, win 313, length 36
20:39:16.912032 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 2424:2588, ack 1, win 313, length 164
20:39:16.912160 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 2588:2624, ack 1, win 313, length 36
20:39:16.912300 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 2624:2788, ack 1, win 313, length 164
20:39:16.912384 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 2788:2824, ack 1, win 313, length 36
20:39:16.912507 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 2824:2988, ack 1, win 313, length 164
20:39:16.913032 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 852, win 2048, length 0
20:39:16.913070 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 2988:3824, ack 1, win 313, length 836
20:39:16.913132 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 3824:3988, ack 1, win 313, length 164
20:39:16.913293 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 3988:4024, ack 1, win 313, length 36
20:39:16.913453 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 4024:4188, ack 1, win 313, length 164
20:39:16.913571 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 4188:4224, ack 1, win 313, length 36
20:39:16.913701 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 4224:4372, ack 1, win 313, length 148
20:39:16.913868 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 4408:4572, ack 1, win 313, length 164
20:39:16.914016 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 4608:4772, ack 1, win 313, length 164
20:39:16.932048 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 2988, win 2051, length 0
20:39:16.932185 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 4772:6008, ack 1, win 313, length 1236
20:39:16.932324 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 4024, win 2047, length 0
20:39:16.932541 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 6008:6156, ack 1, win 313, length 148
20:39:16.932672 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 6156:6192, ack 1, win 313, length 36
20:39:16.932785 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 6192:6356, ack 1, win 313, length 164
20:39:16.932860 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 6356:6392, ack 1, win 313, length 36
20:39:16.932961 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 6392:6540, ack 1, win 313, length 148
